ItemID,DataID,OldID,Continent,RivID,X,Y,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
I061,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2013,NA,AKCOISal,COI,200,2,1,2,Global_db
I063,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2014,NA,AK12S,12S,200,2,1,2,Global_db
I065,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2014,NA,AK16S,16S,200,2,1,2,Global_db
I067,D026,Ref030,North_America,NR025,-149.5426189,63.63001461,US,2014,NA,AKCOIPro,COI,200,2,1,2,Global_db
I058,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2013,NA,AK16S,16S,200,2,1,2,Global_db
I060,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2013,NA,AKCOIPro,COI,200,2,1,2,Global_db
I062,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2013,NA,AKCOISal,COI,200,2,1,2,Global_db
I064,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2014,NA,AK12S,12S,200,2,1,2,Global_db
I066,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2014,NA,AK16S,16S,200,2,1,2,Global_db
I068,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2014,NA,AKCOIPro,COI,200,2,1,2,Global_db
I056,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2013,NA,AK12S,12S,200,2,1,2,Global_db
I070,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2014,NA,AKCOISal,COI,200,2,1,2,Global_db
I071,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2015,NA,AK12S,12S,200,2,1,2,Global_db
I072,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2015,NA,AK16S,16S,200,2,1,2,Global_db
I073,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2015,NA,AKCOIPro,COI,200,2,1,2,Global_db
I074,D026,Ref030,North_America,NR026,-146.0136511,62.1677386,US,2015,NA,AKCOISal,COI,200,2,1,2,Global_db
I075,D027,Ref031,Europe,NR027,35.01473816,56.30715556,Russia,2017,8,Ac12S,12S,385,0.25,6,1.5,Custom_db
I076,D027,Ref031,Europe,NR027,35.01473816,56.30715556,Russia,2017,8,Ac16S,16S,330,0.25,6,1.5,Custom_db
I077,D027,Ref031,Europe,NR027,35.01473816,56.30715556,Russia,2017,8,Cytb01,CytB,413,0.25,6,1.5,Custom_db
I082,D029,Ref034,Asia,NR028,139.4016299,35.35298331,Japan,2017,8,MiFish,12S,170,0.7,1,0.7,Global_db
I090,D031,Ref036,Asia,NR029,136.201742,35.755882,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I091,D031,Ref036,Asia,NR030,136.0911942,35.61073001,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I092,D031,Ref036,Asia,NR031,135.968451,35.569623,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
I093,D031,Ref036,Asia,NR032,135.8406362,35.44883624,Japan,2014,9,MiFish,12S,170,1,1,1,Global_db
